address	length	data_type	value
00424386	12	unicode	null)
00424395	6	string	null)
004243b8	23	string	__GLOBAL_HEAP_SELECTED
004243d0	21	string	__MSVCRT_HEAP_SELECT
004243e8	16	string	runtime error\s
004243fc	16	string	TLOSS error\r\n
0042440c	16	string	SING error\r\n
0042441c	16	string	DOMAIN error\r\n
0042442c	40	string	R6028\r\n- unable to initialize heap\r\n
00424454	56	string	R6027\r\n- not enough space for lowio initialization\r\n
0042448c	56	string	R6026\r\n- not enough space for stdio initialization\r\n
004244c4	40	string	R6025\r\n- pure virtual function call\r\n
004244ec	56	string	R6024\r\n- not enough space for _onexit/atexit table\r\n
00424524	44	string	R6019\r\n- unable to open console device\r\n
00424550	36	string	R6018\r\n- unexpected heap error\r\n
00424574	48	string	R6017\r\n- unexpected multithread lock error\r\n
004245a4	44	string	R6016\r\n- not enough space for thread data\r\n
004245d0	36	string	\r\nabnormal program termination\r\n
004245f4	44	string	R6009\r\n- not enough space for environment\r\n
00424620	44	string	R6008\r\n- not enough space for arguments\r\n
0042464c	40	string	R6002\r\n- floating point not loaded\r\n
00424674	37	string	Microsoft Visual C++ Runtime Library
004246a0	26	string	Runtime Error!\n\nProgram:\s
004246c0	23	string	<program name unknown>
004246e6	30	string	GAIsProcessorFeaturePresent
00424704	9	string	KERNEL32
00424710	6	string	e+000
004247a8	19	string	GetLastActivePopup
004247bc	16	string	GetActiveWindow
004247cc	12	string	MessageBoxA
004247d8	11	string	user32.dll
004247fc	8	string	LC_TIME
00424804	11	string	LC_NUMERIC
00424810	12	string	LC_MONETARY
0042481c	9	string	LC_CTYPE
00424828	11	string	LC_COLLATE
00424834	8	string	LC_ALL
00424870	7	string	1#QNAN
00424878	6	string	1#INF
00424880	6	string	1#IND
00424888	7	string	1#SNAN
00424890	12	string	Paraguay
004248a4	8	string	Chile
004248ac	8	string	Ecuador
004248b4	12	string	Argentina
004248c8	12	string	Colombia
004248d4	12	string	Venezuela
004248e0	20	string	Dominican Republic
004248f4	16	string	South Africa
00424904	8	string	Panama
0042490c	12	string	Luxembourg
00424918	12	string	Costa Rica
00424924	12	string	Switzerland
00424930	12	string	Guatemala
0042493c	8	string	Canada
00424944	24	string	Spanish - Modern Sort
0042495c	12	string	Australia
00424968	8	string	English
00424970	8	string	Austria
00424978	8	string	German
00424980	8	string	Belgium
00424988	7	string	Mexico
00424990	8	string	Spanish
00424998	8	string	Basque
004249a0	8	string	Sweden
004249a8	8	string	Swedish
004249b0	8	string	Iceland
004249b8	12	string	Icelandic
004249c4	8	string	France
004249cc	8	string	French
004249d4	8	string	Finland
004249dc	8	string	Finnish
004249e4	8	string	Spain
004249ec	28	string	Spanish - Traditional Sort
00424a08	16	string	united-states
00424a18	16	string	united-kingdom
00424a28	20	string	trinidad & tobago
00424a3c	12	string	south-korea
00424a48	16	string	south-africa
00424a58	12	string	south korea
00424a64	16	string	south africa
00424a7c	12	string	puerto-rico
00424a88	12	string	pr-china
00424a94	12	string	pr china
00424aa4	12	string	new-zealand
00424ab0	12	string	hong-kong
00424abc	8	string	holland
00424ac4	16	string	great britain
00424ad4	8	string	england
00424ae4	8	string	china
00424aec	8	string	britain
00424af4	8	string	america
00424b08	8	string	swiss
00424b10	16	string	swedish-finland
00424b20	20	string	spanish-venezuela
00424b34	16	string	spanish-uruguay
00424b44	20	string	spanish-puerto rico
00424b58	16	string	spanish-peru
00424b68	20	string	spanish-paraguay
00424b7c	16	string	spanish-panama
00424b8c	20	string	spanish-nicaragua
00424ba0	16	string	spanish-modern
00424bb0	16	string	spanish-mexican
00424bc0	20	string	spanish-honduras
